Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.15232741832733,-1.18377649784088
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,12.380952835083,12.2641506195068
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,5.2380952835083,1.88679242134094
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.51853036880493,-2.5508017539978
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,6,6
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.87635684013367,-1.65844225883484
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,9,9
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.56788992881775,-1.75158727169037
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,9,9
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.576535522937775,-0.407875537872314
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,9,9
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,31.9047622680664,38.6792449951172
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,50.9523811340332,56.6037750244141
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.196294024586678,0.114945493638515
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,7,7
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.280372351408005,-0.16577909886837
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,10,10
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.0859144106507301,0.13946570456028
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,10,10
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.635657608509064,-0.637929856777191
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,7,7
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,29.5238094329834,28.301887512207
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,28.5714282989502,32.5471687316895
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.992437243461609,-0.741771519184113
Algeria,DZA,Regulatory Quality: Number of Sources,RQ.NO.SRC,6,6
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.832210958003998,-0.832472681999207
Algeria,DZA,Rule of Law: Number of Sources,RL.NO.SRC,9,9
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.00932395458221,-1.00387418270111
Algeria,DZA,Voice and Accountability: Number of Sources,VA.NO.SRC,10,10
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.2798718214035,1.27020359039307
American Samoa,ASM,Control of Corruption: Number of Sources,CC.NO.SRC,1,1
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,88.5714263916016,88.6792449951172
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,72.3809509277344,74.5283050537109
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.06857633590698,1.12885904312134
American Samoa,ASM,Regulatory Quality: Number of Sources,RQ.NO.SRC,1,1
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.13890171051025,1.22111785411835
American Samoa,ASM,Rule of Law: Number of Sources,RL.NO.SRC,1,1
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,0.960498690605164,0.957647860050201
American Samoa,ASM,Voice and Accountability: Number of Sources,VA.NO.SRC,1,1
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.2798718214035,1.27020359039307
Andorra,AND,Control of Corruption: Number of Sources,CC.NO.SRC,1,1
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,88.5714263916016,88.6792449951172
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,97.1428604125977,92.4528274536133
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.58106744289398,1.58773648738861
Andorra,AND,Regulatory Quality: Number of Sources,RQ.NO.SRC,1,1
Andorra,AND,Rule of Law: Estimate,RL.EST,1.64212965965271,1.48544991016388
Andorra,AND,Rule of Law: Number of Sources,RL.NO.SRC,1,1
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.03341281414032,1.10283291339874
Andorra,AND,Voice and Accountability: Number of Sources,VA.NO.SRC,2,2
Angola,AGO,Control of Corruption: Estimate,CC.EST,-0.651610195636749,-0.601941287517548
Angola,AGO,Control of Corruption: Number of Sources,CC.NO.SRC,10,10
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,29.0476188659668,30.6603775024414
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,12.380952835083,13.2075471878052
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.709369480609894,-0.646240890026093
Angola,AGO,Regulatory Quality: Number of Sources,RQ.NO.SRC,8,8
Angola,AGO,Rule of Law: Estimate,RL.EST,-0.984480023384094,-1.02190458774567
Angola,AGO,Rule of Law: Number of Sources,RL.NO.SRC,11,11
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-0.854894280433655,-0.7971311211586
Angola,AGO,Voice and Accountability: Number of Sources,VA.NO.SRC,13,13
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,0.638071477413177,1.27020359039307
Anguilla,AIA,Control of Corruption: Number of Sources,CC.NO.SRC,1,1
Anguilla,AIA,Control of Corruption: Percentile Rank,CC.PER.RNK,73.3333358764648,88.6792449951172
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,79.523811340332,84.4339599609375
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.528599858284,1.12885904312134
Anguilla,AIA,Regulatory Quality: Number of Sources,RQ.NO.SRC,1,1
Anguilla,AIA,Rule of Law: Estimate,RL.EST,0.384059697389603,0.42812192440033
Anguilla,AIA,Rule of Law: Number of Sources,RL.NO.SRC,1,1
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,..,..
Anguilla,AIA,Voice and Accountability: Number of Sources,VA.NO.SRC,..,..
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.231979250907898,0.310604453086853
Antigua and Barbuda,ATG,Control of Corruption: Number of Sources,CC.NO.SRC,2,2
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,60.9523811340332,63.2075462341309
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,44.2857131958008,46.2264137268066
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.949530005455017,0.94386225938797
Antigua and Barbuda,ATG,Regulatory Quality: Number of Sources,RQ.NO.SRC,2,2
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.303531020879745,0.391315579414368
Antigua and Barbuda,ATG,Rule of Law: Number of Sources,RL.NO.SRC,3,3
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.730730891227722,0.721560716629028
Antigua and Barbuda,ATG,Voice and Accountability: Number of Sources,VA.NO.SRC,2,2
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.422272920608521,-0.447030484676361
Argentina,ARG,Control of Corruption: Number of Sources,CC.NO.SRC,12,11
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,38.0952377319336,36.3207550048828
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,37.1428565979004,41.9811325073242
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.000468279235064983,-0.00916328188031912
Argentina,ARG,Regulatory Quality: Number of Sources,RQ.NO.SRC,8,8
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.476669818162918,-0.48068231344223
Argentina,ARG,Rule of Law: Number of Sources,RL.NO.SRC,12,12
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.611695528030396,0.543526768684387
Argentina,ARG,Voice and Accountability: Number of Sources,VA.NO.SRC,12,12
Armenia,ARM,Control of Corruption: Estimate,CC.EST,0.048978328704834,0.0280352365225554
Armenia,ARM,Control of Corruption: Number of Sources,CC.NO.SRC,8,8
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,57.6190490722656,56.1320762634277
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,40,39.1509437561035
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.804036557674408,-0.797183930873871
